Name,Class,Role,Tier,Win %,Role %,Pick %,Ban %,KDA
Aatrox,Fighter,TOP,1,47.68,91.63,6.62,11.98,1.77
Ahri,Mage,MID,1,49.50,94.65,5.81,1.73,2.58
Akali,Assassin,MID,1,,75.74,8.11,13.02,2.37
Akali,Assassin,TOP,4,45.92,23.50,2.55,13.02,2.0
Akshan,Marksman,MID,2,51.62,66.03,2.75,3.79,2.26
Akshan,Marksman,TOP,3,51.69,25.56,1.01,3.79,2.0
Alistar,Tank,SUPPORT,3,50.09,95.95,2.67,0.60,2.46
Amumu,Tank,JUNGLE,1,52.87,49.07,4.44,5.20,
Amumu,Tank,SUPPORT,2,52.39,50.05,4.09,5.20,2.18
Anivia,Mage,MID,1,53.22,86.04,3.60,3.56,3.03
Annie,Mage,MID,4,49.13,,1.29,0.37,2.3
Annie,Mage,SUPPORT,5,47.00,13.05,0.21,,2.27
Aphelios,Marksman,ADC,5,46.60,96.77,3.48,0.51,1.95
Ashe,Marksman,SUPPORT,1,50.02,55.73,8.75,6.03,2.44
Ashe,Marksman,,3,50.27,42.22,6.49,6.03,2.43
Aurelion Sol,Mage,MID,4,50.42,87.99,,0.27,2.54
Azir,Mage,MID,4,46.31,91.28,2.40,0.51,
Bard,Support,SUPPORT,2,50.30,97.18,3.25,0.48,3.1
Bel'Veth,Fighter,JUNGLE,2,50.94,94.30,3.89,8.20,2.39
Blitzcrank,Tank,SUPPORT,0,51.75,97.28,7.49,18.25,2.46
Brand,Mage,SUPPORT,3,50.72,76.74,3.32,4.03,1.85
Brand,Mage,MID,4,50.69,15.84,0.74,4.41,2.04
Braum,Support,SUPPORT,4,48.89,98.55,1.71,0.27,2.68
Caitlyn,Marksman,ADC,0,50.37,96.12,20.28,18.56,2.3
Camille,Fighter,,1,50.33,93.66,5.90,2.54,1.97
Cassiopeia,Mage,MID,2,51.64,77.88,2.64,1.68,2.25
Cassiopeia,Mage,TOP,3,52.77,13.88,0.51,1.68,1.95
Cho'Gath,Tank,MID,3,,20.82,0.45,0.76,2.47
Cho'Gath,Tank,TOP,3,50.27,65.37,1.81,0.76,2.06
Corki,Marksman,MID,4,48.61,90.20,0.87,0.16,2.23
Darius,Fighter,TOP,0,49.88,94.72,9.34,22.42,1.87
Diana,Fighter,JUNGLE,1,50.55,70.61,6.61,4.60,2.55
Diana,Fighter,MID,3,49.84,27.49,2.45,4.60,2.09
Dr. Mundo,Marksman,TOP,2,49.64,85.79,4.07,10.03,1.86
Draven,Fighter,ADC,2,49.66,96.04,7.55,22.14,2.12
Ekko,Assassin,JUNGLE,1,50.98,71.07,7.27,6.21,2.81
Ekko,Assassin,MID,3,50.18,26.44,2.63,6.21,2.31
Elise,Mage,JUNGLE,0,52.37,96.95,6.93,11.73,2.9
Evelynn,Assassin,JUNGLE,2,50.54,98.06,4.44,7.79,3.01
Ezreal,Marksman,ADC,0,48.39,94.75,18.55,3.53,2.4
Fiddlesticks,Mage,JUNGLE,2,52.09,85.92,3.68,2.87,2.84
Fiddlesticks,Mage,SUPPORT,4,51.43,10.34,0.38,2.74,2.11
Fiora,Fighter,TOP,0,50.72,97.61,7.62,21.28,1.72
Fizz,Assassin,MID,3,49.73,94.84,3.08,3.12,
Galio,Tank,MID,2,51.32,80.94,2.31,0.31,2.71
Galio,Tank,SUPPORT,5,48.87,15.56,0.42,0.32,2.29
Gangplank,Fighter,TOP,0,50.56,79.71,7.97,9.81,2.02
Gangplank,Fighter,MID,3,51.00,19.32,2.11,9.81,2.2
Garen,Fighter,TOP,1,50.12,86.14,5.48,1.54,2.03
Gnar,Fighter,TOP,3,48.68,96.81,2.86,0.35,1.9
Gragas,Fighter,JUNGLE,3,51.00,45.36,2.53,0.85,3.05
Gragas,Fighter,MID,3,52.46,11.47,0.65,0.85,
Gragas,Fighter,TOP,3,49.21,36.79,2.14,0.85,2.2
Graves,Marksman,JUNGLE,1,49.67,89.60,6.62,3.46,2.66
Gwen,,TOP,3,49.30,86.87,2.85,0.79,1.76
Hecarim,Fighter,JUNGLE,2,47.24,99.04,5.59,10.13,2.58
Heimerdinger,Mage,,2,,68.65,4.07,10.12,2.1
Heimerdinger,Mage,MID,3,52.32,14.38,0.84,10.12,2.01
Illaoi,Fighter,TOP,2,52.29,94.06,4.55,6.75,1.48
Irelia,Fighter,MID,1,50.75,50.98,6.70,16.82,1.85
Irelia,Fighter,TOP,1,50.00,47.72,6.23,16.82,1.67
Ivern,Support,JUNGLE,3,50.92,80.70,1.13,0.44,3.66
Ivern,Support,SUPPORT,5,45.89,10.94,0.14,0.41,2.46
Janna,Support,SUPPORT,2,51.30,97.90,4.50,1.50,3.18
Jarvan IV,Tank,JUNGLE,3,48.94,87.95,2.21,0.20,3.07
Jax,Fighter,TOP,0,51.94,85.83,12.04,21.85,1.75
Jax,Fighter,JUNGLE,4,49.80,11.19,1.58,21.85,2.21
Jayce,Fighter,TOP,2,50.29,77.92,5.41,2.13,1.88
Jayce,Fighter,,3,53.03,20.48,1.38,2.13,2.26
Jhin,Marksman,ADC,0,51.43,92.56,17.41,3.40,3.06
Jinx,Marksman,ADC,3,50.67,98.56,7.44,0.54,2.32
K'Sante,Tank,TOP,1,47.52,93.24,7.24,15.11,1.97
Kai'Sa,Tank,ADC,0,50.83,96.92,18.91,3.81,2.51
Kalista,Marksman,ADC,5,47.95,86.37,2.66,0.76,2.22
Karma,Mage,SUPPORT,0,49.52,83.31,9.99,3.42,2.8
Karma,Mage,MID,3,50.63,10.41,1.29,3.42,3.17
Karthus,Mage,MID,4,49.37,12.72,0.37,1.67,2.28
Karthus,Mage,ADC,4,53.28,26.01,0.93,1.67,2.28
Karthus,Mage,JUNGLE,4,48.40,52.62,1.64,1.67,
Kassadin,Assassin,MID,0,52.30,97.44,7.72,36.28,2.71
Katarina,Assassin,MID,1,48.73,95.50,7.44,8.12,2.34
Kayle,Fighter,TOP,3,50.92,79.82,2.13,0.46,1.82
Kayle,Fighter,MID,4,50.45,16.68,0.38,0.46,2.19
Kayn,Fighter,JUNGLE,2,48.23,97.18,6.68,5.46,2.39
Kennen,,MID,4,49.76,16.06,0.25,0.32,2.35
Kennen,Mage,TOP,4,48.01,78.94,1.18,0.32,1.93
Kha'Zix,Assassin,JUNGLE,2,49.88,98.25,4.78,1.94,2.58
Kindred,Marksman,JUNGLE,2,49.40,96.33,6.20,8.83,2.26
Kled,Fighter,TOP,2,52.03,86.05,2.30,0.95,2.39
Kled,Fighter,MID,3,53.93,11.75,0.29,0.95,2.65
Kog'Maw,Marksman,ADC,4,52.42,86.94,1.83,0.41,2.23
LeBlanc,Assassin,MID,3,46.47,,2.90,4.04,2.75
Lee Sin,Fighter,JUNGLE,1,47.13,92.08,9.54,4.07,2.66
Leona,Tank,SUPPORT,2,50.11,98.81,4.97,4.18,2.38
Lillia,Fighter,JUNGLE,3,49.72,85.84,2.54,1.52,2.79
Lillia,Fighter,TOP,5,46.17,11.32,0.37,1.56,1.89
Lissandra,Mage,MID,2,50.81,93.66,3.53,,2.52
Lucian,Marksman,ADC,2,49.61,93.22,10.96,5.45,2.29
Lulu,Support,SUPPORT,0,49.89,97.61,9.58,,3.06
Lux,Mage,SUPPORT,0,51.19,70.69,13.65,10.76,2.56
Lux,Mage,MID,1,51.54,26.49,5.12,10.76,3.03
Malphite,Tank,TOP,2,49.54,67.52,3.36,2.58,2.4
Malphite,Tank,MID,3,51.67,14.58,0.72,2.58,2.53
Malphite,Tank,SUPPORT,5,48.29,14.12,0.81,2.65,1.96
Malzahar,Mage,MID,2,51.52,90.90,3.69,3.69,2.35
Maokai,Tank,JUNGLE,0,54.31,75.40,9.84,27.50,3.02
Maokai,Tank,SUPPORT,2,51.42,20.67,2.63,27.50,2.27
Master Yi,Assassin,JUNGLE,1,50.35,93.30,7.11,18.30,2.13
Miss Fortune,Marksman,ADC,2,50.44,87.90,8.52,2.10,2.26
Miss Fortune,Marksman,SUPPORT,5,45.98,10.21,0.89,2.10,2.08
Mordekaiser,Fighter,TOP,1,50.23,70.18,6.82,14.83,1.88
Mordekaiser,Fighter,JUNGLE,3,49.90,23.47,2.30,14.83,2.39
Morgana,Mage,SUPPORT,0,50.06,89.94,7.26,25.67,2.52
Nami,Support,,0,51.61,99.70,13.02,6.89,3.29
Nasus,Fighter,TOP,2,51.14,78.72,4.60,4.19,1.99
Nasus,Fighter,MID,3,53.66,14.69,0.52,4.19,2.39
Nautilus,Tank,SUPPORT,1,50.09,98.21,7.83,7.62,2.31
Neeko,Mage,MID,3,51.21,57.37,1.42,0.41,2.36
Neeko,Mage,TOP,3,51.82,12.01,0.21,0.41,2.03
Neeko,Mage,SUPPORT,5,50.31,25.02,0.61,0.43,2.06
Nidalee,Assassin,JUNGLE,3,47.46,88.62,3.33,1.28,2.87
Nilah,Marksman,ADC,4,52.81,96.35,2.64,4.99,2.23
Nocturne,Assassin,JUNGLE,2,50.80,92.64,3.47,2.05,2.6
Nunu,Tank,JUNGLE,2,,91.22,4.40,1.30,
Olaf,Fighter,TOP,2,52.21,80.16,3.34,2.37,1.87
Olaf,Fighter,JUNGLE,5,49.50,17.04,0.63,2.37,2.33
Orianna,Mage,MID,3,50.36,92.29,2.36,0.16,2.76
Ornn,Tank,TOP,2,51.31,93.04,4.06,0.64,2.47
Pantheon,Fighter,,3,51.96,26.19,1.59,1.16,2.36
Pantheon,Fighter,TOP,3,50.14,31.20,1.74,1.16,2.03
Pantheon,Fighter,SUPPORT,5,48.44,32.94,2.03,1.16,1.92
Poppy,Tank,TOP,3,50.72,40.33,1.04,0.52,2.13
Poppy,Tank,JUNGLE,5,48.51,47.78,1.20,0.52,2.7
Pyke,,SUPPORT,1,49.29,94.85,8.26,13.91,2.21
Qiyana,Assassin,MID,4,48.10,81.80,2.62,0.94,2.09
Qiyana,Assassin,JUNGLE,5,44.03,11.83,0.33,0.94,2.23
Quinn,Marksman,TOP,2,53.27,77.05,,0.60,1.93
Quinn,Marksman,MID,4,51.07,11.07,0.17,0.60,2.29
Rakan,Support,SUPPORT,2,51.54,98.50,3.96,0.22,2.97
Rammus,Tank,JUNGLE,2,51.19,90.80,2.64,8.72,3.13
Rek'Sai,Fighter,JUNGLE,4,48.73,95.43,1.69,0.80,2.44
Rell,Tank,SUPPORT,3,52.22,98.75,2.15,0.38,2.5
Renata Glasc,Support,SUPPORT,2,51.27,99.02,3.67,1.79,2.75
Renekton,Fighter,,2,48.48,82.59,4.44,2.45,1.8
Renekton,Fighter,MID,4,50.87,16.09,0.88,2.45,
Rengar,Assassin,JUNGLE,3,48.70,76.49,3.85,7.52,2.35
Rengar,Assassin,TOP,3,50.26,20.74,1.22,7.52,1.95
Riven,Fighter,TOP,2,49.31,90.85,4.19,1.42,1.9
Rumble,Fighter,MID,3,50.56,43.02,1.22,0.54,2.54
Rumble,Fighter,TOP,4,47.83,42.54,1.06,0.54,
Rumble,Fighter,JUNGLE,5,47.74,11.62,0.34,0.54,2.8
Ryze,Mage,MID,1,50.06,88.06,7.45,4.14,2.47
Ryze,Mage,TOP,3,50.92,10.53,0.90,4.14,2.07
Samira,Marksman,ADC,0,52.01,98.08,11.97,26.31,2.37
Sejuani,Tank,JUNGLE,2,50.69,81.96,4.31,0.91,3.27
Sejuani,Tank,TOP,4,48.97,13.39,0.71,0.91,2.4
Senna,Marksman,,2,49.45,93.15,4.82,1.37,2.54
Seraphine,Mage,SUPPORT,2,49.66,65.53,4.40,1.22,2.49
Seraphine,Mage,MID,4,49.54,11.79,0.69,1.22,2.88
Seraphine,Mage,ADC,4,52.69,22.33,1.19,1.22,2.98
Sett,Fighter,TOP,1,50.30,81.83,7.40,4.49,1.78
Shaco,Assassin,JUNGLE,1,49.55,80.48,5.75,15.81,2.78
Shaco,Assassin,SUPPORT,4,50.11,13.61,0.97,15.81,2.37
Shen,,TOP,1,52.13,86.69,4.79,0.95,3.03
Shyvana,Fighter,TOP,4,51.45,13.71,0.22,0.30,2.04
Shyvana,Fighter,JUNGLE,4,51.33,80.18,1.37,0.28,2.55
Singed,Tank,MID,2,55.15,19.51,0.50,0.61,2.83
Singed,Tank,TOP,3,51.45,69.62,1.88,0.61,2.03
Sion,Tank,TOP,2,50.46,82.93,4.16,1.20,1.67
Sivir,Marksman,ADC,3,50.34,98.06,5.34,0.69,2.48
Skarner,Fighter,JUNGLE,4,52.15,78.37,0.76,0.15,2.75
Skarner,Fighter,TOP,4,49.96,19.16,0.17,0.14,2.27
Sona,Support,SUPPORT,1,53.03,97.61,4.29,0.27,2.99
Soraka,Support,SUPPORT,1,50.99,96.45,5.78,2.48,2.79
Swain,Mage,SUPPORT,2,51.66,52.30,3.85,3.73,2.44
Swain,Mage,MID,2,52.37,32.41,2.02,3.73,2.77
Sylas,Mage,JUNGLE,0,49.50,50.53,8.73,22.96,2.52
Sylas,,MID,0,49.61,43.68,7.47,22.96,2.17
Syndra,Mage,MID,1,49.65,92.20,6.20,3.80,2.31
Tahm Kench,Support,TOP,3,49.25,67.79,1.79,0.79,2.37
Tahm Kench,Support,SUPPORT,5,47.63,23.21,0.55,0.79,2.34
Taliyah,Mage,MID,3,51.08,51.06,1.31,0.40,
Taliyah,Mage,JUNGLE,5,48.44,37.26,0.96,0.40,2.59
Talon,Assassin,MID,3,49.85,72.24,3.37,1.31,2.23
Talon,Assassin,JUNGLE,5,,24.53,1.22,1.31,2.48
Taric,Support,SUPPORT,3,52.44,89.17,1.74,0.31,2.78
Teemo,Marksman,TOP,2,49.99,74.21,3.76,6.30,1.75
Thresh,Support,SUPPORT,1,50.08,98.52,8.93,2.14,2.64
Tristana,Marksman,ADC,2,51.38,79.18,7.86,3.71,2.4
Tristana,Marksman,MID,3,52.62,17.85,1.45,3.71,
Trundle,Fighter,JUNGLE,5,48.01,70.33,1.42,0.90,2.59
Trundle,Fighter,TOP,5,48.85,23.42,0.44,0.93,1.63
Tryndamere,Fighter,TOP,3,49.18,75.26,2.57,2.44,1.8
Tryndamere,Fighter,MID,3,52.21,16.88,0.55,2.44,2.17
Twisted Fate,Mage,,3,49.29,92.30,2.72,0.20,2.44
Twitch,Marksman,ADC,2,51.29,59.66,,11.24,2.45
Twitch,Marksman,SUPPORT,4,48.59,30.03,2.86,11.24,2.09
Udyr,Fighter,JUNGLE,1,52.54,80.53,6.18,19.75,2.72
Udyr,Fighter,TOP,3,51.87,16.84,1.29,19.75,1.95
Urgot,Fighter,TOP,2,51.31,93.01,2.67,0.85,1.97
Varus,Marksman,ADC,1,50.18,85.55,11.57,3.82,2.42
Varus,Marksman,MID,4,48.05,11.97,1.59,3.82,2.08
Vayne,Marksman,ADC,4,49.20,81.32,5.79,5.40,2.09
Vayne,Marksman,TOP,4,49.85,15.96,1.09,5.40,1.61
Veigar,Mage,MID,2,49.76,,3.57,2.02,2.29
Veigar,Mage,ADC,5,49.52,12.22,0.49,2.02,2.32
Vel'Koz,Mage,MID,3,50.71,35.12,1.06,0.51,
Vel'Koz,Mage,SUPPORT,3,51.43,60.37,2.04,0.51,2.25
Vex,Mage,MID,1,51.27,94.12,4.79,6.57,2.47
Vi,Fighter,JUNGLE,1,51.82,96.07,5.96,,2.58
Viego,Assassin,JUNGLE,2,48.24,92.19,7.25,2.71,2.41
Viktor,Mage,MID,1,51.10,95.85,5.76,2.89,2.32
Vladimir,,MID,2,49.94,77.40,4.07,4.68,2.41
Vladimir,,TOP,4,48.59,20.74,1.05,4.68,2.04
Volibear,Fighter,JUNGLE,4,50.26,45.29,1.74,0.95,2.67
Volibear,Fighter,TOP,4,48.32,50.91,1.81,0.95,
Warwick,Fighter,JUNGLE,2,49.82,57.49,4.77,7.12,2.21
Warwick,Fighter,TOP,2,51.36,40.01,2.51,,1.84
Wukong,Fighter,JUNGLE,1,51.41,77.35,5.62,2.71,2.8
Wukong,Fighter,TOP,3,51.42,18.79,1.31,,2.13
Xayah,Marksman,ADC,2,51.81,98.64,8.54,1.24,2.51
Xerath,Mage,SUPPORT,2,51.54,69.16,3.72,3.11,2.63
Xerath,Mage,MID,3,,27.42,1.36,3.11,3.3
Xin Zhao,Fighter,JUNGLE,3,51.03,88.20,2.15,0.28,
Yasuo,Fighter,MID,0,49.44,72.19,11.73,19.86,1.75
Yasuo,Fighter,TOP,3,47.93,16.65,2.60,19.86,1.49
Yasuo,Fighter,ADC,5,50.20,10.02,1.46,19.86,2.0
Yone,Assassin,MID,0,50.42,63.80,8.52,10.53,1.94
Yone,Assassin,TOP,2,48.25,33.51,4.34,10.53,1.63
Yorick,Fighter,TOP,3,51.01,89.94,3.02,2.71,1.56
Yuumi,Support,SUPPORT,1,44.44,98.81,7.96,19.86,3.88
Zac,Tank,JUNGLE,0,52.12,69.42,6.49,14.77,3.53
Zac,Tank,TOP,2,53.24,13.56,1.29,14.77,2.73
Zed,Assassin,MID,0,48.68,77.39,10.00,36.90,2.22
Zed,Assassin,JUNGLE,5,44.36,18.28,2.27,,2.31
Zeri,Marksman,ADC,3,49.84,95.18,6.55,2.45,2.49
Ziggs,Mage,MID,3,50.44,56.28,1.40,0.23,2.51
Ziggs,Mage,ADC,5,51.96,32.03,0.74,0.23,2.6
Ziggs,Mage,SUPPORT,5,47.47,12.02,0.32,0.27,2.04
Zilean,Support,MID,2,53.33,15.52,0.49,1.40,3.59
Zilean,Support,SUPPORT,2,50.95,79.72,2.67,1.40,3.11
